,subject_ids,Img1,Img2,Img3,Forest,DTO,subject_set_id,choice
1,74384941,C022_SD004_R1_Kip_IMG_0028.JPG,C022_SD004_R1_Kip_IMG_0029.JPG,C022_SD004_R1_Kip_IMG_0030.JPG,Kip tract,7/14/21 19:58,103437,DEERWHITETAILED
2,74384942,C022_SD004_R1_Kip_IMG_0031.JPG,C022_SD004_R1_Kip_IMG_0032.JPG,C022_SD004_R1_Kip_IMG_0033.JPG,Kip tract,7/14/21 20:00,103437,DEERWHITETAILED
3,74384943,C022_SD004_R1_Kip_IMG_0034.JPG,C022_SD004_R1_Kip_IMG_0035.JPG,C022_SD004_R1_Kip_IMG_0036.JPG,Kip tract,7/14/21 20:01,103437,DEERWHITETAILED
4,74384944,C022_SD004_R1_Kip_IMG_0037.JPG,C022_SD004_R1_Kip_IMG_0038.JPG,C022_SD004_R1_Kip_IMG_0039.JPG,Kip tract,7/14/21 20:02,103437,DEERWHITETAILED
5,74384946,C022_SD004_R1_Kip_IMG_0043.JPG,C022_SD004_R1_Kip_IMG_0044.JPG,C022_SD004_R1_Kip_IMG_0045.JPG,Kip tract,7/16/21 21:19,103437,DEERWHITETAILED
6,74384948,C022_SD004_R1_Kip_IMG_0049.JPG,C022_SD004_R1_Kip_IMG_0050.JPG,C022_SD004_R1_Kip_IMG_0051.JPG,Kip tract,7/17/21 11:00,103437,OTHERBIRD
7,74384949,C022_SD004_R1_Kip_IMG_0052.JPG,C022_SD004_R1_Kip_IMG_0053.JPG,C022_SD004_R1_Kip_IMG_0054.JPG,Kip tract,7/17/21 11:06,103437,DEERWHITETAILED
8,74384951,C022_SD004_R1_Kip_IMG_0058.JPG,C022_SD004_R1_Kip_IMG_0059.JPG,C022_SD004_R1_Kip_IMG_0060.JPG,Kip tract,7/19/21 8:25,103437,DEERWHITETAILED
9,74384952,C022_SD004_R1_Kip_IMG_0061.JPG,C022_SD004_R1_Kip_IMG_0062.JPG,C022_SD004_R1_Kip_IMG_0063.JPG,Kip tract,7/19/21 8:26,103437,DEERWHITETAILED
10,74384955,C023_SD018_R1_SH_IMG_0031.JPG,C023_SD018_R1_SH_IMG_0032.JPG,C023_SD018_R1_SH_IMG_0033.JPG,South Hammond,7/4/21 10:42,103437,MOUNTAINLION
11,74384958,C023_SD018_R1_SH_IMG_0040.JPG,C023_SD018_R1_SH_IMG_0041.JPG,C023_SD018_R1_SH_IMG_0042.JPG,South Hammond,7/9/21 9:38,103437,DEERWHITETAILED
12,74384960,C023_SD018_R1_SH_IMG_0046.JPG,C023_SD018_R1_SH_IMG_0047.JPG,C023_SD018_R1_SH_IMG_0048.JPG,South Hammond,7/11/21 8:10,103437,DEERWHITETAILED
13,74384962,C023_SD018_R1_SH_IMG_0052.JPG,C023_SD018_R1_SH_IMG_0053.JPG,C023_SD018_R1_SH_IMG_0054.JPG,South Hammond,7/14/21 0:46,103437,DEERWHITETAILED
14,74384963,C023_SD018_R1_SH_IMG_0055.JPG,C023_SD018_R1_SH_IMG_0056.JPG,C023_SD018_R1_SH_IMG_0057.JPG,South Hammond,7/16/21 9:53,103437,DEERWHITETAILED
15,74384964,C023_SD018_R1_SH_IMG_0058.JPG,C023_SD018_R1_SH_IMG_0059.JPG,C023_SD018_R1_SH_IMG_0060.JPG,South Hammond,7/16/21 10:20,103437,DEERWHITETAILED
16,74384965,C023_SD018_R1_SH_IMG_0061.JPG,C023_SD018_R1_SH_IMG_0062.JPG,C023_SD018_R1_SH_IMG_0063.JPG,South Hammond,7/17/21 2:55,103437,DEERWHITETAILED
17,74384966,C023_SD018_R1_SH_IMG_0064.JPG,C023_SD018_R1_SH_IMG_0065.JPG,C023_SD018_R1_SH_IMG_0066.JPG,South Hammond,7/17/21 2:56,103437,DEERWHITETAILED
18,74384967,C023_SD018_R1_SH_IMG_0067.JPG,C023_SD018_R1_SH_IMG_0068.JPG,C023_SD018_R1_SH_IMG_0069.JPG,South Hammond,7/21/21 0:06,103437,DEERWHITETAILED
